DateTime,Lambda_MW
2024-01-01T00:00:00.0,11.977236863859353
2024-01-01T01:00:00.0,11.142413106907187
2024-01-01T02:00:00.0,11.142413106907187
2024-01-01T03:00:00.0,11.142413106907187
2024-01-01T04:00:00.0,11.977236863859353
2024-01-01T05:00:00.0,13.507746748522418
2024-01-01T06:00:00.0,14.818489655144008
2024-01-01T07:00:00.0,18.17660295629739
2024-01-01T08:00:00.0,16.525634810500147
2024-01-01T09:00:00.0,14.802764046763809
2024-01-01T10:00:00.0,11.697497204286394
2024-01-01T11:00:00.0,9.746074809508805
2024-01-01T12:00:00.0,7.482031152303682
2024-01-01T13:00:00.0,2.3619700985388673e-6
2024-01-01T14:00:00.0,2.0729953957372755e-6
2024-01-01T15:00:00.0,8.894575903737566
2024-01-01T16:00:00.0,11.098166561816942
2024-01-01T17:00:00.0,13.287979220965862
2024-01-01T18:00:00.0,15.038257596189087
2024-01-01T19:00:00.0,18.357802685617937
2024-01-01T20:00:00.0,28.044401821250144
2024-01-01T21:00:00.0,112.90000499530977
2024-01-01T22:00:00.0,112.90000499530977
2024-01-01T23:00:00.0,15.038257596189087
