DateTime,Generacion_MW,Demanda_MW,Diferencia_MW
2024-01-01T00:00:00.0,79.77199971689329,79.77200000000003,-2.831067433817225e-7
2024-01-01T01:00:00.0,62.67799971690279,62.67800000000002,-2.8309722921449065e-7
2024-01-01T02:00:00.0,62.67799971690261,62.67800000000002,-2.830974068501746e-7
2024-01-01T03:00:00.0,62.67799971690252,62.67800000000002,-2.8309749922073024e-7
2024-01-01T04:00:00.0,79.77199971689282,79.77200000000003,-2.831072123399281e-7
2024-01-01T05:00:00.0,111.110999669407,111.11100000000003,-3.3059303916616045e-7
2024-01-01T06:00:00.0,142.4499999182775,142.45000000000005,-8.172253274096875e-8
2024-01-01T07:00:00.0,190.88299991827557,190.88300000000007,-8.172449383891944e-8
2024-01-01T08:00:00.0,205.12799991827737,205.12800000000007,-8.172270327122533e-8
2024-01-01T09:00:00.0,205.12799991827757,205.12800000000007,-8.172250431925931e-8
2024-01-01T10:00:00.0,159.54399996240673,159.54400000000007,-3.759333822017652e-8
2024-01-01T11:00:00.0,125.35599999304591,125.35600000000004,-6.954124387448246e-9
2024-01-01T12:00:00.0,94.01699999304617,94.01700000000004,-6.9538685920633725e-9
2024-01-01T13:00:00.0,79.77199999304624,79.77200000000003,-6.9537975377897965e-9
2024-01-01T14:00:00.0,62.67799999304619,62.67800000000002,-6.953825959499227e-9
2024-01-01T15:00:00.0,62.677999993046065,62.67800000000002,-6.953953857191664e-9
2024-01-01T16:00:00.0,79.77199997512342,79.77200000000003,-2.4876612769730855e-8
2024-01-01T17:00:00.0,111.1109999270774,111.11100000000003,-7.292263148883649e-8
2024-01-01T18:00:00.0,142.4499996079989,142.45000000000005,-3.920011408808932e-7
2024-01-01T19:00:00.0,173.78899946909928,173.78900000000004,-5.309007633513829e-7
2024-01-01T20:00:00.0,222.2219993539138,222.22200000000007,-6.460862778112642e-7
2024-01-01T21:00:00.0,284.89999928839734,284.9000000000001,-7.116027518350165e-7
2024-01-01T22:00:00.0,284.89999928823306,284.9000000000001,-7.117670293155243e-7
2024-01-01T23:00:00.0,142.4499996080022,142.45000000000005,-3.919978439625993e-7
