DateTime,Net_BESS,gen-1,gen-2,gen-4,gen-5,gen-solar,Demanda_Total_MW
2024-01-01T00:00:00.0,-6.618582671693787,11.502367062066648,44.17057522858058,30.717640097939853,0.0,0.0,79.77199971689329
2024-01-01T01:00:00.0,-23.71246376134974,11.502338025847651,44.17052683482508,30.7175986175798,0.0,0.0,62.67799971690279
2024-01-01T02:00:00.0,-23.71247380348041,11.502340477993647,44.17053092173989,30.717602120649488,0.0,0.0,62.67799971690261
2024-01-01T03:00:00.0,-23.712500223170128,11.50234692930754,44.170541673942424,30.717611336822685,0.0,0.0,62.67799971690252
2024-01-01T04:00:00.0,-6.6187697624402615,11.50241274697616,44.17065137018638,30.71770536217055,0.0,0.0,79.77199971689282
2024-01-01T05:00:00.0,0.0005474872694656921,17.538612842120934,54.230987550856014,39.34085178916059,0.0,0.0,111.110999669407
2024-01-01T06:00:00.0,23.558030205265183,18.339914159617976,55.56648875647948,40.48556763032586,0.0,4.499999166589033,142.4499999182775
2024-01-01T07:00:00.0,58.48927471023107,18.3403428272656,55.56720320181802,40.48618001236087,0.0,17.99999916659999,190.88299991827557
2024-01-01T08:00:00.0,50.23589579762272,18.33994698010454,55.566543457242766,40.48561451671813,0.0,40.49999916658923,205.12799991827737
2024-01-01T09:00:00.0,23.236033132164145,18.339913444909932,55.56648756530051,40.485566609314745,0.0,67.49999916658822,205.12799991827757
2024-01-01T10:00:00.0,-5.597550645079176e-5,8.487522093322495,39.14582402855002,26.410710958297447,0.0,85.49999885774322,159.54399996240673
2024-01-01T11:00:00.0,-8.594354483456303,1.1392059881675314,26.898307975657488,15.912844412859867,0.0,89.99999609981732,125.35599999304591
2024-01-01T12:00:00.0,-39.933109101631906,1.139140403375633,26.898211161837494,15.912761429653177,0.0,89.99999609981177,94.01699999304617
2024-01-01T13:00:00.0,-49.67804532576887,1.1391240112497287,26.89818432822712,15.912738429434478,0.0,85.49999854990378,79.77199999304624
2024-01-01T14:00:00.0,-48.77205811928581,1.1391273542255382,26.898189416981268,15.912742791220182,0.0,67.49999854990502,62.67799999304619
2024-01-01T15:00:00.0,-21.772196065461436,1.139166439983787,26.898242649532744,15.91278841908422,0.0,40.49999854990675,62.677999993046065
2024-01-01T16:00:00.0,-9.005586902886275e-5,5.490889819509777,34.15141310675247,22.129788362673132,0.0,17.99999874205707,79.77199997512342
2024-01-01T17:00:00.0,-2.403701024776024e-5,16.439915237975406,52.39982566491624,37.771283947037524,0.0,4.499999114158483,111.1109999270774
2024-01-01T18:00:00.0,-1.8532495541268563e-5,25.19131415890276,66.98543641081967,50.273267570772006,0.0,0.0,142.4499996079989
2024-01-01T19:00:00.0,-1.2285890151639182e-5,41.78905379455903,71.99998255941412,59.99997540101628,0.0,0.0,173.78899946909928
2024-01-01T20:00:00.0,35.51997481557688,54.702043032066406,71.99999154449308,59.9999899617774,0.0,0.0,222.2219993539138
2024-01-01T21:00:00.0,60.000000024597675,89.99999956395148,71.99999993952417,59.99999992219166,2.8999998381323544,0.0,284.89999928839734
2024-01-01T22:00:00.0,60.00000002461526,89.99999956395148,71.99999993952417,59.99999992219166,2.8999998379504834,0.0,284.89999928823306
2024-01-01T23:00:00.0,1.4940006635987201e-5,25.191305985321645,66.98542278840581,50.27325589426809,0.0,0.0,142.4499996080022
