Hora,Dev_MW_gen-1,Dev_MW_gen-2,Dev_MW_gen-4,Dev_MW_gen-5
1,0.8137428583720432,0.0,0.0,0.0
2,1.008484078430639,0.0,0.0,0.0
3,1.008484403974256,0.0,0.0,0.0
4,1.008485260445525,0.0,0.0,0.0
5,0.8137477188289637,0.0,0.0,0.0
6,1.2350828011335189,0.0,0.0,0.0
7,1.1579131253376396,0.0,0.0,0.0
8,1.4373951771279927,0.0,0.0,0.0
9,1.6492029952388627,0.0,0.0,0.0
10,1.6492031631608022,0.0,0.0,0.0
11,1.089829259660256,0.0,0.0,0.0
12,0.8758925022424462,0.0,0.0,0.0
13,0.4204275238029733,0.0,0.0,0.0
14,0.3027219045241085,0.0,0.0,0.0
15,0.23504350832579157,0.0,0.0,0.0
16,0.23504411074466147,0.0,0.0,0.0
17,0.3756673591059192,0.0,0.0,0.0
18,1.1021558017009312,0.0,0.0,0.0
19,2.033777347305378,0.0,0.0,0.0
20,3.118475939870457,0.0,0.0,0.0
21,3.329914216416043,0.0,0.0,0.0
22,8.88534084941044,0.0,0.0,0.0
23,8.885340849590193,0.0,0.0,0.0
24,4.516121862239384,0.0,0.0,0.0
