Hora,Barra_1,Barra_2,Barra_3,Barra_4,Barra_5,Barra_6,Barra_7,Barra_8,Barra_9,Barra_10,Barra_11,Barra_12,Barra_13,Barra_14
1,1.04,1.03,1.0187728310822954,1.0268289705246076,1.0301033449996881,1.025,1.0241365097461101,1.035,1.0159480930065397,1.0148531391729907,1.0184112501332834,1.0201228031083074,1.0179682664412277,1.0110538931452644
2,1.04,1.03,1.0227723217732403,1.0287814687505266,1.0313135725265683,1.025,1.026243849786577,1.035,1.0194463805929996,1.0183244291660296,1.0204979318382068,1.021298336623702,1.0197223459551807,1.0150561529250817
3,1.04,1.03,1.0227723217732403,1.0287814687505266,1.0313135725265683,1.025,1.026243849786577,1.035,1.0194463805929996,1.0183244291660296,1.0204979318382068,1.021298336623702,1.0197223459551807,1.0150561529250817
4,1.04,1.03,1.0227723217732403,1.0287814687505266,1.0313135725265683,1.025,1.026243849786577,1.035,1.0194463805929996,1.0183244291660296,1.0204979318382068,1.021298336623702,1.0197223459551807,1.0150561529250817
5,1.04,1.03,1.0187728310822954,1.0268289705246076,1.0301033449996881,1.025,1.0241365097461101,1.035,1.0159480930065397,1.0148531391729907,1.0184112501332834,1.0201228031083074,1.0179682664412277,1.0110538931452644
6,1.04,1.03,1.0112281566308605,1.023135247820316,1.0277973472110864,1.025,1.020187964238218,1.035,1.0094169460657971,1.0083703576156846,1.0145051612594087,1.0179373341177824,1.0147017885012715,1.0035873068213093
7,1.04,1.03,1.0050542857706393,1.0195542648183367,1.0254669393951044,1.025,1.0163635258850787,1.035,1.0031087374834353,1.0020761539810958,1.0107038845918057,1.0157324078826822,1.0114460285786313,0.9962162392060124
8,1.04,1.03,0.9976771075010912,1.0142286008084673,1.0218654084944205,1.025,1.010613187923992,1.035,0.9936338339164655,0.9925775508004785,1.0049589876896754,1.0122869367812763,1.0064109525462501,0.9849088958110692
9,1.04,1.03,1.0021951699004574,1.0136317265671746,1.0210864209934938,1.025,1.0098287500915646,1.035,0.9923552565905082,0.9911762334322272,1.004137177030014,1.0113532423577214,1.0052462973179486,0.9826482642627264
10,1.04,1.03,1.0111374681501482,1.0147629829161364,1.0213225391971084,1.025,1.0110069659763763,1.035,0.9943920189490779,0.9930631118573439,1.0053145381877966,1.0114674046059255,1.0056900138775715,0.9841093448760945
11,1.04,1.03,1.0265975360642792,1.020480053927492,1.0245829073400152,1.025,1.0175009930715648,1.035,1.0053190825787004,1.0038290683593467,1.011815789800599,1.014789520254143,1.0108353547673443,0.9961430842929347
12,1.04,1.03,1.0348466693007994,1.0240573377089928,1.0266174414065674,1.025,1.021866174225142,1.035,1.0127884698658751,1.0112121607112428,1.0162463458873376,1.0171834810411284,1.014483360424198,1.0045492783915961
13,1.04,1.03,1.041241758526259,1.0275791810087254,1.0289529327973843,1.025,1.0255764664834337,1.035,1.0188378420274702,1.0172165287654324,1.0198164249587576,1.0193311136562908,1.0176199405505963,1.0116394498916736
14,1.04,1.03,1.0430981590066717,1.0292558501038018,1.0302233438231565,1.025,1.027082288533527,1.035,1.0211408023096866,1.019534115887088,1.021189602655673,1.0202948907250495,1.0189506108744342,1.014549889517241
15,1.04,1.03,1.0421400583628486,1.0307977077947248,1.0314760952340458,1.025,1.0286268121014217,1.035,1.0235947247194377,1.0220498430004323,1.0226940949566616,1.0214300957782803,1.02049272510928,1.0178324270664219
16,1.04,1.03,1.0349104703181788,1.0298963001118502,1.0311386420248334,1.025,1.0279284770986923,1.035,1.0225428465794173,1.0211245975973462,1.0221672389467034,1.0213927021937135,1.0203101644807104,1.0171462563331115
17,1.04,1.03,1.0246156196121576,1.0275865847440064,1.0302585027562516,1.025,1.0249414420857654,1.035,1.0173017621084555,1.0160768079838203,1.0191428560614424,1.0201779109550453,1.018229659087683,1.0119799580287439
18,1.04,1.03,1.0128061747719153,1.0233712544127012,1.0278687975889684,1.025,1.02041222128595,1.035,1.0097813905458735,1.008701547069215,1.0147053694234216,1.0179551739107486,1.0147746000548432,1.003841083876494
19,1.04,1.03,1.0033944293825743,1.0192872522606133,1.0253737031157364,1.025,1.016124347186837,1.035,1.0027268114601853,1.0017273582560429,1.0104910589098395,1.015711428987799,1.011367526635502,0.9959465581505562
20,1.04,1.03,0.995277293850451,1.0153430282896891,1.0229090137764139,1.025,1.0119136476142256,1.035,0.9957747371194696,0.9948216532728615,1.006298811413146,1.0134389070121805,1.0079373371742701,0.9880482688125116
21,1.04,1.03,0.9815422289175225,1.0077798530389015,1.017429561686228,1.025,1.0055336772175172,1.035,0.9861848558087913,0.9853223977971165,1.000665271560664,1.0099275524777669,1.002917628503857,0.9766769049445266
22,1.04,1.0281377239018743,0.9608921325284904,0.9967649923325241,1.0074328811601505,1.0055457772797916,0.993936726153174,1.0336964900462005,0.9688099455288461,0.9657796926352055,0.9804945521261856,0.9865684262733159,0.9788959819543834,0.9513141062644919
23,1.04,1.0281377239018743,0.9608921325284904,0.9967649923325241,1.0074328811601505,1.0055457772797916,0.993936726153174,1.0336964900462005,0.9688099455288461,0.9657796926352055,0.9804945521261856,0.9865684262733159,0.9788959819543834,0.9513141062644919
24,1.04,1.03,1.0033944293825743,1.0192872522606133,1.0253737031157364,1.025,1.016124347186837,1.035,1.0027268114601853,1.0017273582560429,1.0104910589098395,1.015711428987799,1.011367526635502,0.9959465581505562
