DateTime,Generacion_MW,Demanda_MW,Diferencia_MW
2024-01-01T00:00:00.0,79.77200026293058,79.77200000000003,2.6293054133930127e-7
2024-01-01T01:00:00.0,62.67800029073728,62.67800000000002,2.907372618210502e-7
2024-01-01T02:00:00.0,62.67800029073728,62.67800000000002,2.907372618210502e-7
2024-01-01T03:00:00.0,62.67800029073728,62.67800000000002,2.907372618210502e-7
2024-01-01T04:00:00.0,79.77200026293058,79.77200000000003,2.6293054133930127e-7
2024-01-01T05:00:00.0,111.11100021316258,111.11100000000003,2.1316255072179047e-7
2024-01-01T06:00:00.0,142.45000059758013,142.45000000000005,5.975800831947709e-7
2024-01-01T07:00:00.0,190.88300056526845,190.88300000000007,5.652683796597557e-7
2024-01-01T08:00:00.0,205.128000581785,205.12800000000007,5.817849171307898e-7
2024-01-01T09:00:00.0,205.12800059772013,205.12800000000007,5.977200601137156e-7
2024-01-01T10:00:00.0,159.54400062358224,159.54400000000007,6.235821672362363e-7
2024-01-01T11:00:00.0,125.35600063819913,125.35600000000004,6.381990971249252e-7
2024-01-01T12:00:00.0,94.01699443287862,94.01700000000004,-5.5671214198582675e-6
2024-01-01T13:00:00.0,79.77199700866103,79.77200000000003,-2.991339002278437e-6
2024-01-01T14:00:00.0,62.67799700866051,62.67800000000002,-2.9913395067637794e-6
2024-01-01T15:00:00.0,62.678000644227524,62.67800000000002,6.442275051199431e-7
2024-01-01T16:00:00.0,79.77200062819558,79.77200000000003,6.2819555068927e-7
2024-01-01T17:00:00.0,111.11100061076547,111.11100000000003,6.107654400011597e-7
2024-01-01T18:00:00.0,142.450000164914,142.45000000000005,1.6491395626871963e-7
2024-01-01T19:00:00.0,173.7890000649723,173.78900000000004,6.4972255131579e-8
2024-01-01T20:00:00.0,222.22199978938596,222.22200000000007,-2.1061410393485858e-7
2024-01-01T21:00:00.0,284.89999908635343,284.9000000000001,-9.136466587733594e-7
2024-01-01T22:00:00.0,284.89999908635343,284.9000000000001,-9.136466587733594e-7
2024-01-01T23:00:00.0,142.450000164914,142.45000000000005,1.6491395626871963e-7
