Hora,gen-1,gen-2,gen-4,gen-5,gen-solar,Total_Generacion_MW,Modo
0,10.54274758823273,41.47697255452363,28.40883520235659,0.0,0.0,80.42855534511295,gen
1,6.14252395675661,34.5201095708347,22.445810234210157,0.0,0.0,63.10844376180147,gen
2,6.14252395675661,34.5201095708347,22.445810234210157,0.0,0.0,63.10844376180147,gen
3,6.14252395675661,34.5201095708347,22.445810234210157,0.0,0.0,63.10844376180147,gen
4,10.54274758823273,41.47697255452363,28.40883520235659,0.0,0.0,80.42855534511295,gen
5,18.773837097889306,54.23121717117909,39.34104521848138,0.0,0.0,112.34609948754978,gen
6,25.9485452520683,65.15406065281516,48.70348870681052,0.0,4.500000000000001,144.306094611694,gen
7,43.74289495585765,71.99999383218139,59.99999076588294,0.0,18.000000000000004,193.74287955392197,gen
8,35.05438482970399,71.99998045260783,59.99984418956371,0.0,40.5,207.55420947187554,gen
9,25.809422748681442,65.02301433670537,48.59116305201863,0.0,67.5,206.92360013740546,gen
10,9.577326299200353,39.145809294504616,26.410695367246937,0.0,85.5,160.6338309609519,gen
11,1.0447782816083961,22.883960282041816,12.471970605444103,0.0,90.0,126.40070916909431,gen
12,1.1292534552428308,4.016961758141749,3.410479230348688e-5,0.0,90.0,95.14624931817688,gen
13,-4.650086230735035,0.0,0.0,0.0,85.5,80.84991376926496,gen
14,-4.118890119363403,0.0,0.0,0.0,67.5,63.3811098806366,gen
15,0.2766773416587258,15.788139432455834,6.389845785791599,0.0,40.5,62.95466255990616,gen
16,5.8665157022191945,34.15138844852067,22.129763595058126,0.0,18.000000000000004,80.14766774579799,gen
17,17.542056188895266,52.39982200260324,37.77127774563828,0.0,4.500000000000001,112.21315593713678,gen
18,27.22506633152364,66.98545201479457,50.27325777563847,0.0,0.0,144.48377612195668,gen
19,44.90748850981573,71.99999431007515,59.99999171309038,0.0,0.0,176.90747453298127,gen
20,96.03795045002462,71.99999953424376,59.99999943857755,0.0,0.0,228.03794942284594,gen
21,182.81415761426584,0.0,60.00000081158733,52.899996681028874,0.0,295.71415510688206,gen
22,182.81415761426584,0.0,60.00000081158733,52.899996681028874,0.0,295.71415510688206,gen
23,95.209625106484,0.0,50.27325777563847,0.0,0.0,145.48288288212245,gen
