DateTime,Lambda_MW
2024-01-01T00:00:00.0,12.366821206842573
2024-01-01T01:00:00.0,11.448515198022863
2024-01-01T02:00:00.0,11.448515198022863
2024-01-01T03:00:00.0,11.448515198022863
2024-01-01T04:00:00.0,12.366821206842573
2024-01-01T05:00:00.0,14.05038213915128
2024-01-01T06:00:00.0,15.514182173441684
2024-01-01T07:00:00.0,21.99426096031976
2024-01-01T08:00:00.0,20.62816123068111
2024-01-01T09:00:00.0,15.917485743150053
2024-01-01T10:00:00.0,12.476665902099482
2024-01-01T11:00:00.0,10.42028513385148
2024-01-01T12:00:00.0,8.328588249712743
2024-01-01T13:00:00.0,7.269892738195287
2024-01-01T14:00:00.0,7.173480621519607
2024-01-01T15:00:00.0,9.299572132353122
2024-01-01T16:00:00.0,11.48775104153436
2024-01-01T17:00:00.0,13.830614576075085
2024-01-01T18:00:00.0,15.798423790416274
2024-01-01T19:00:00.0,21.833580992109077
2024-01-01T20:00:00.0,72.44419614007998
2024-01-01T21:00:00.0,9999.999999655518
2024-01-01T22:00:00.0,9999.999999655518
2024-01-01T23:00:00.0,15.798423790416274
