DateTime,gen-1,gen-2,gen-4,gen-5,gen-solar,Demanda_Total_MW
2024-01-01T00:00:00.0,11.834112685061914,44.72350789004844,31.19157970444022,0.0,0.0,175.49840055910113
2024-01-01T01:00:00.0,7.242587562102081,37.07095973288651,24.632253014813646,0.0,0.0,137.89160061960447
2024-01-01T02:00:00.0,7.242587562102081,37.07095973288651,24.632253014813646,0.0,0.0,137.89160061960447
2024-01-01T03:00:00.0,7.242587562102081,37.07095973288651,24.632253014813646,0.0,0.0,137.89160061960447
2024-01-01T04:00:00.0,11.834112685061914,44.72350789004844,31.19157970444022,0.0,0.0,175.49840055910113
2024-01-01T05:00:00.0,20.25191404472065,58.753175633909485,43.217010546519994,0.0,0.0,244.44420045030023
2024-01-01T06:00:00.0,27.570912909382322,70.95137556223641,53.67271170564477,0.0,4.500000414023715,313.39000118257445
2024-01-01T07:00:00.0,59.97130404637888,71.99999813863907,59.99999774991254,0.0,18.000000586668943,419.9426010431988
2024-01-01T08:00:00.0,53.140805924080205,71.9999973550011,59.99999669982138,0.0,40.50000055929609,451.2816010763976
2024-01-01T09:00:00.0,29.587430497238287,71.99993545055807,56.553434210879814,0.0,67.50000042887156,451.2816011750955
2024-01-01T10:00:00.0,12.383335814173712,45.63888008968757,31.976184442181925,0.0,85.50000027136737,350.9968012348212
2024-01-01T11:00:00.0,2.1014680023908925,28.502377947994813,17.287755427740716,0.0,89.99999925515273,275.7832012665583
2024-01-01T12:00:00.0,0.0,11.071579945772935,2.3471120071602907,0.0,89.99999881694255,206.83738153975156
2024-01-01T13:00:00.0,0.0,2.2491713414045424,2.3904425700307965e-5,0.0,85.49999974951942,175.4983899906993
2024-01-01T14:00:00.0,0.0,1.4457744908763863,2.0999528362935035e-5,0.0,67.4999997327146,137.8915904462387
2024-01-01T15:00:00.0,2.495889081268498e-5,19.16310614192286,9.282669518133067,0.0,40.50000002243878,137.89160128277103
2024-01-01T16:00:00.0,7.438766446551802,37.397925018759906,24.91250895125466,0.0,18.000000208643343,175.49840125041942
2024-01-01T17:00:00.0,19.15307650236867,56.921780747153406,41.64724301397222,0.0,4.500000342696418,244.44420121238144
2024-01-01T18:00:00.0,28.992120807664946,71.99988016424524,55.7029991981554,0.0,0.0,313.39000034013117
2024-01-01T19:00:00.0,59.167904270593866,71.9999980644068,59.999997653802026,0.0,0.0,382.33579997760535
2024-01-01T20:00:00.0,100.00000057163004,72.00000067992121,60.00000067558071,12.444197173901749,0.0,488.88839820206744
2024-01-01T21:00:00.0,100.00000099817635,72.00000099817898,60.000000998178834,55.00000099816068,0.0,574.0000079853896
2024-01-01T22:00:00.0,100.00000099817635,72.00000099817898,60.000000998178834,55.00000099816068,0.0,574.0000079853896
2024-01-01T23:00:00.0,28.992120807664946,71.99988016424524,55.7029991981554,0.0,0.0,313.39000034013117
