Hora,Barra_1,Barra_2,Barra_3,Barra_4,Barra_5,Barra_6,Barra_7,Barra_8,Barra_9,Barra_10,Barra_11,Barra_12,Barra_13,Barra_14
1,1.04,1.03,1.0188468536685709,1.0270107993387072,1.0303321289383987,1.025,1.0240471581838477,1.035,1.0156545445785292,1.0145719473366588,1.0182283636607372,1.020115862663881,1.0179015404087894,1.0108406055175432
2,1.04,1.03,1.0228287898026525,1.028922704880474,1.031491412874767,1.025,1.0261735964591459,1.035,1.0192173854362714,1.0181066809402939,1.020358069344994,1.0212941118221266,1.0196720006386581,1.0148923616194019
3,1.04,1.03,1.0228287898026525,1.028922704880474,1.031491412874767,1.025,1.0261735964591459,1.035,1.0192173854362714,1.0181066809402939,1.020358069344994,1.0212941118221266,1.0196720006386581,1.0148923616194019
4,1.04,1.03,1.0228287898026525,1.028922704880474,1.031491412874767,1.025,1.0261735964591459,1.035,1.0192173854362714,1.0181066809402939,1.020358069344994,1.0212941118221266,1.0196720006386581,1.0148923616194019
5,1.04,1.03,1.0188468536685709,1.0270107993387072,1.0303321289383987,1.025,1.0240471581838477,1.035,1.0156545445785292,1.0145719473366588,1.0182283636607372,1.020115862663881,1.0179015404087894,1.0108406055175432
6,1.04,1.03,1.0113369658135698,1.0233939942330372,1.0281224844559265,1.025,1.020063714122028,1.035,1.0090026677661486,1.0079682134735797,1.0142378557303038,1.0179236390798665,1.0146020173100505,1.0032777282030632
7,1.04,1.03,1.0052028289259345,1.0198967797614875,1.0258960341860919,1.025,1.0162083623744782,1.035,1.0025759061481663,1.0015525111261727,1.0103491033488627,1.0157105747048685,1.011311029125433,0.9958083158922002
8,1.04,1.03,0.9978535954484405,1.0146502495289387,1.0223880336853621,1.025,1.0104583433916567,1.035,0.9930471471441273,0.9919895504550905,1.0045491465505747,1.0122569850457177,1.0062508491789064,0.9844440852984638
9,1.04,1.03,1.002516137850438,1.0143729393301026,1.0219983721101031,1.025,1.0095945438965288,1.035,0.9913956828469992,0.9902113683104723,1.0034618641657524,1.0113054629859521,1.0049814100717938,0.981888073429691
10,1.04,1.03,1.0114027421028922,1.0153495854986558,1.022040388526655,1.025,1.0108628267718092,1.035,0.9937134900649006,0.9923839079272136,1.0048427405772464,1.0114401998908227,1.0055062754580766,0.9835832724804606
11,1.04,1.03,1.026798369997582,1.0209404989190998,1.0251438964818627,1.025,1.017405395862993,1.035,1.0048262708621296,1.0033479878410727,1.0114946042899724,1.0147812980604245,1.0107151278010953,0.9957844835808255
12,1.04,1.03,1.0350509831319659,1.0245361515419846,1.0272006110935865,1.025,1.0217743405802389,1.035,1.0122951684949724,1.0107397568098866,1.0159410950496979,1.0171833837504942,1.01437300297289,1.0042069250488297
13,1.04,1.03,1.041244742436741,1.0275577565383243,1.0289279172053214,1.025,1.02557065412103,1.035,1.0188370706659218,1.0172165619679943,1.0198170729121039,1.0193305649844138,1.0176201790897668,1.0116391753373224
14,1.04,1.03,1.0430981591080588,1.029255850348369,1.030223344037308,1.025,1.0270822886293443,1.035,1.0211408023717536,1.0195341159343136,1.0211896026760752,1.02029489073262,1.018950610881429,1.0145498895551102
15,1.04,1.03,1.042140058460077,1.0307977080317972,1.0314760954414932,1.025,1.0286268121909994,1.035,1.0235947247752601,1.0220498430424307,1.0226940949743593,1.0214300957854179,1.0204927251153617,1.0178324271001655
16,1.04,1.03,1.0349957564465937,1.0301065660575657,1.0313993244841158,1.025,1.0278591154157533,1.035,1.0222719737476984,1.0208699938620807,1.0220075316657564,1.0213928217145776,1.020254236301349,1.0169612140712792
17,1.04,1.03,1.024692904350449,1.0277762346497943,1.0304954085642293,1.025,1.0248605567211193,1.035,1.0170199484351439,1.0158079370975597,1.0189693410274878,1.0201730853692452,1.0181668898290066,1.0117783667752993
18,1.04,1.03,1.012916075557644,1.0236326884193392,1.028196716116154,1.025,1.020290919907349,1.035,1.0093712231843879,1.0083037240474901,1.014441343413631,1.017942217746062,1.0146762125295403,1.0035356101402464
19,1.04,1.03,1.0035416189514301,1.019626346278342,1.0257992664112865,1.025,1.0159653924971692,1.035,1.002188670025594,1.0011981272467383,1.0101320442575388,1.0156886429780407,1.01123074143734,0.9955333208772935
20,1.04,1.03,0.9953938343887684,1.0156267376068644,1.0232639134648953,1.025,1.01179074580199,1.035,0.995343693879187,0.9943917970400915,1.0060011648057614,1.0134168177645637,1.007821750814961,0.9877080113088569
21,1.04,1.03,0.9815422289448728,1.0077798530888764,1.0174295616506634,1.025,1.0055336773948795,1.035,0.9861848561639217,0.985322398135957,1.0006652717818418,1.009927552499684,1.0029176285892256,0.9766769052115482
22,1.04,1.03,0.9644371413375831,1.0019035619869119,1.0116343624328579,1.0066668814397566,0.9948046751733205,1.0316144064258415,0.9718704361748497,0.9688139286795213,0.9829180497226951,0.9878085166012436,0.9805552693057099,0.9539410261091305
23,1.04,1.03,0.9644371413375831,1.0019035619869119,1.0116343624328579,1.0066668814397566,0.9948046751733205,1.0316144064258415,0.9718704361748497,0.9688139286795213,0.9829180497226951,0.9878085166012436,0.9805552693057099,0.9539410261091305
24,1.04,1.03,1.0035416189514301,1.019626346278342,1.0257992664112865,1.025,1.0159653924971692,1.035,1.002188670025594,1.0011981272467383,1.0101320442575388,1.0156886429780407,1.01123074143734,0.9955333208772935
